7SK	7SK
ABCA6	ABCA10
ABCA9	ABCA6
AC004540.5	AC004540.4
AC004967.8	AC004967.7
AC005682.6	AC005682.5
AC007879.3	AC007879.1
AC009313.2	AC009313.1
AC009961.3	AC009506.1
AC010127.4	AC010127.3
AC010987.6	AC010987.5
AC016735.2	AC016735.1
AC019100.4	AC019100.3
AC024084.1	AC009784.3
AC058791.2	AC016831.7
AC058791.2	AC058791.1
AC060834.3	AC006373.1
AC068057.2	AC018730.1
AC073115.7	AC073115.6
AC073871.2	AC073133.1
AC084809.3	AC084809.2
AC093616.4	AC068491.1
AC097721.2	AC097523.3
AC108463.1	AC068491.1
AC112721.2	AC112721.1
AC114765.1	AC009310.1
AC114765.1	AC067956.1
AC116050.1	AC027612.6
AC138035.1	AC138031.1
AC144521.1	AC105750.1
AC144521.1	AC105765.1
ACTR3	AC010982.1
ACYP2	AC008280.5
ADAM23	AC010731.4
ADAM9	ADAM32
AGAP11	AGAP10
AGAP4	AGAP11
AKR1E2	AKR1C1
AL163953.3	AL162759.1
AL359753.1	AIM2
AL450992.2	AL450992.2
ALMS1P	AC092653.5
ALMS1P	ALMS1
AMY2B	AMY1B
AMZ2P1	AMZ2
ANAPC1	AC068491.1
ANAPC1	AC093616.4
ANAPC1	AC104651.1
ANAPC1	AC125232.1
ANGPTL4	AC093323.3
ANKRD20A14P	AL583842.6
ANKRD36B	ANKRD36
ANKRD36C	ANKRD36
ANKRD36C	ANKRD36B
ANKRD36C	ANKRD36BP2
ANO9	AC068282.3
AP000350.6	AP000350.4
AP000476.1	ANKRD36BP2
AP000697.6	AP000696.2
AP000783.2	AP000783.1
AP001347.6	AC079949.1
AP001347.6	AL161626.1
APMAP	ACSS1
APOC1P1	APOC1
APOL4	APOL3
AQP7P3	AQP7P1
AQP7P4	AQP7
ARHGAP35	AP2S1
ARHGEF5	ARHGEF35
ARMCX4	ARMCX1
ASMTL-AS1	ASMTL
ASNS	AC079781.8
ASNSD1	ANKAR
ATG16L1	AC004528.5
ATP13A5	ATP13A4
BASP1	AC091878.1
BAZ2B	AC009506.1
BAZ2B	AC009961.3
BHLHB9	ARMCX5
BIRC6	ASTN2
BMPR1A	BMPR1A
BMX	ACE2
BTN3A1	BTN2A2
BTN3A3	BTN2A1
BUD31	ARPC1B
BX004987.4	AC134878.2
BX004987.4	AL583842.3
BX248409.1	ANKRD45
BZRAP1-AS1	BZRAP1
C1GALT1	AC005532.5
C1orf162	ATP5F1
C1orf54	C1orf51
C1QC	C1QA
C2orf27A	AP000525.8
C5orf27	AC008592.4
C6orf47	BAG6
CA3	CA13
CACNG4	CACNG1
CADM3	AIM2
CALD1	AC083874.3
CATSPER2P1	CATSPER2
CBX3	C15orf57
CCDC153	CBL
CCDC7	C10orf68
CCZ1B	AC004967.8
CD99P1	CD99
CDC42EP3	AC006369.2
CDK10	C16orf55
CDK11B	CDK11A
CDK19	AMD1
CDK2AP2P1	CBWD6
CDX1	AC005895.3
CELA2B	CASP9
CEP68	AC007386.4
CFLAR	AC007283.5
CHL1	AY269186.2
CHN1	ATF2
CHRM4	AMBRA1
CHRNA7	CHRFAM7A
CHST12	AC004840.9
CIRBP	C19orf24
CLEC4F	CD207
CLEC9A	CLEC1A
CLN8	ARHGEF10
CLPSL1	CLPS
CLSTN3	C1RL-AS1
CMTM4	CKLF-CMTM1
CNTNAP2	ARHGEF3
COL6A3	AC112721.1
COL6A3	AC112721.2
COL8A1	C3orf26
COMMD1	B3GNT2
COMT	ARVCF
COX10-AS1	AC015842.1
CPSF4L	C17orf80
CPVL	AC005013.5
CPVL	AC005162.5
CRIP2	CRIP1
CROT	ABCB4
CTAGE4	ARHGEF5
CTB-113P19.1	ATOX1
CTB-133G6.1	ARHGEF18
CTB-58E17.3	C17orf96
CTC-327F10.1	C5orf46
CTC-338M12.9	CTC-338M12.4
CTC-340D7.1	7SK
CTC-458G6.2	CCT7P2
CTC-523E23.4	AC008555.2
CTC-529L17.2	CTC-529L17.1
CTD-2006C1.6	AFAP1
CTD-2007H13.3	CHD1
CTD-2015B23.2	C5orf17
CTD-2015G9.2	CTD-2015G9.1
CTD-2036A18.1	CTC-480C2.1
